u,v,key,osmid,oneway,highway,reversed,length,lanes,ref,maxspeed,bridge,name,width,access,junction,tunnel,service,area,fid
62890985,62890984,0,8756482,0,residential,True,78.252,,,,,Rua Monte do Castelo,,,,,,,202
62890985,277541151,0,25469736,0,residential,False,119.45600000000002,,,,,Travessa Monte Castelo,,,,,,,203
62890991,4484521170,0,"[8756482, 451627611]",0,residential,True,233.187,,,,,Rua Monte do Castelo,,,,,,,204
62892598,278980002,0,8755860,0,residential,False,54.094,,,,,Rua do Salvado,,,,,,,205
62892598,278978981,0,88300098,0,tertiary,True,30.067,,,,,Avenida Joaquim Neves dos Santos,,,,,,,206
62892598,5271082960,0,"[25486457, 95799282, 95799278]",0,residential,False,168.39000000000001,,,,yes,,,,,,,,207
62892598,62944795,0,88300098,0,tertiary,False,262.426,,,,,Avenida Joaquim Neves dos Santos,,,,,,,208
62897093,1169617940,0,8755750,0,tertiary,False,302.43199999999996,,,,,Rua de Tourais,,,,,,,209
62897093,64647808,0,8875282,0,residential,True,96.579,,,,,Travessa de Tourais,,,,,,,210
62897093,1024910051,0,1016953355,0,tertiary,True,77.81,,,,,Rua de Tourais,,,,,,,211
62913389,62913390,0,8757249,0,residential,False,46.384,,,,,Rua do Monte de Xisto,,,,,,,212
62913389,64653265,0,8757249,0,residential,True,47.496,,,,,Rua do Monte de Xisto,,,,,,,213
62913389,62966116,0,8761517,0,residential,True,64.599,,,,,Travessa Monte Xisto,,,,,,,214
62913389,64652362,0,8875359,0,residential,False,253.82999999999998,,,,,Travessa do Monte de Xisto,,,,,,,215
62913390,277544739,0,8757249,0,residential,False,18.53,,,,,Rua do Monte de Xisto,,,,,,,216
62913390,62913389,0,8757249,0,residential,True,46.384,,,,,Rua do Monte de Xisto,,,,,,,217
62913390,4606429873,0,88292969,0,residential,True,156.152,,,,,Travessa Monte da Terra,,,,,,,218
62913393,62890979,0,8757249,0,residential,False,150.013,,,,,Rua do Monte de Xisto,,,,,,,219
62913393,277544739,0,8757249,0,residential,True,47.986000000000004,,,,,Rua do Monte de Xisto,,,,,,,220
62913393,62890984,0,8760020,0,residential,False,138.21,,,,,Rua Padre Alexandre Milheiro,,,,,,,221
