osmid,y,x,street_cou,highway,ref
1958204086,30.6735633,104.0725308,4,,
1958204223,30.6680803,104.08454,4,,
1958204265,30.6736823,104.0840076,3,,
1958204318,30.6699251,104.0897339,3,,
1958204341,30.6681243,104.0885161,3,,
1958204348,30.6687212,104.0873526,3,,
1964301825,30.6731491,104.0877623,4,,
1964305089,30.6764466,104.1019925,4,,
1964309339,30.6775974,104.1057315,4,,
1964323678,30.6736546,104.1001798,4,,
1964325479,30.6726175,104.0967116,3,,
1964326877,30.6717662,104.0937717,4,,
1964337171,30.6745251,104.1032139,3,,
1964388817,30.6693682,104.1018841,4,,
1964394670,30.6705345,104.1057317,3,,
1964394673,30.6683669,104.1062803,4,,
1964418551,30.6674335,104.0955194,3,,
1964418552,30.6683393,104.0984164,3,,
1964427885,30.6681201,104.1054449,3,,
1964427886,30.6702081,104.1045921,4,,
1964471393,30.6655426,104.1085626,3,,
1964578647,30.6633959,104.114913,4,,
1964588537,30.6602465,104.1231744,4,,
1964588544,30.6632307,104.1216678,4,,
1987226861,30.6633503,104.0523509,3,,
1987226888,30.667348,104.0491602,3,,
1987226891,30.6694158,104.0495669,4,,
1987271096,30.6845543,104.0966972,3,,
1987271099,30.7138544,104.1353401,4,,
1987271130,30.7177248,104.127991,3,,
1987271131,30.7183351,104.1399128,3,,
1987271134,30.7203545,104.1454094,5,,
2004720647,30.636288,104.1494403,3,,
2004720650,30.638638,104.1506069,3,,
2004720655,30.6363468,104.1500487,3,,
2004720663,30.6369595,104.1494388,3,motorway_junction,
2004720664,30.6356986,104.1519875,3,,
2004726862,30.6051397,104.0319108,3,,
2004726868,30.6009893,104.0386766,3,,
2004726877,30.6026876,104.0401405,3,motorway_junction,
2004726885,30.5990227,104.0360679,3,,
2039517042,30.6782973,104.0992775,3,,
2039522710,30.6733849,104.1074422,4,,
2039528346,30.6660418,104.1103952,3,,
2039529042,30.6596425,104.112273,4,,
2039529043,30.658129,104.1122551,3,,
2039550405,30.6703087,104.1127338,3,,
2039550414,30.6762776,104.1094401,4,,
2039550415,30.6374329,104.1107572,4,,
2039550418,30.6387662,104.1120381,3,,
2039550420,30.6742943,104.107484,3,,
2039550423,30.6400045,104.1132202,4,,
2039550425,30.642178,104.1054266,3,,
2039550426,30.6728757,104.1108441,4,,
2039561229,30.6860625,104.1142241,3,,
2039561230,30.6833478,104.1102599,1,,
2039561232,30.6722807,104.1037446,4,,
2039561233,30.6838169,104.1111118,4,,
2039561235,30.6847692,104.1129175,4,,
2039561238,30.688539,104.1110665,3,,
2039561240,30.6898618,104.1064479,4,,
2039561243,30.6915143,104.1024086,3,,
2039561244,30.6841573,104.1025405,3,,
2039561245,30.6816196,104.1126702,4,,
2039561247,30.6864482,104.1139095,3,,
2039563302,30.6915249,104.1050923,3,,
2041314661,30.6852922,104.0952537,3,,
2041337799,30.6835471,104.0961635,3,,
2041337968,30.680099,104.0998961,3,,
2041337974,30.676654,104.1026309,4,,
2041337982,30.6829554,104.0956716,3,,
2041522384,30.6685461,104.1068628,4,,
2041527384,30.6848815,104.0960616,3,,
2041527387,30.689983,104.0934669,3,,
2041527397,30.6902045,104.0941428,1,,
2041527400,30.6931342,104.0974788,3,,
2041527417,30.6855223,104.0948094,3,,
2041527424,30.691766,104.0965577,3,,
2041527427,30.6900791,104.0916325,3,,
2041527436,30.686098,104.0952039,3,,
2041527437,30.6925577,104.0951818,4,,
2041527471,30.6912651,104.0974614,4,,
2041527475,30.6926751,104.0984207,4,,
2041530098,30.6903534,104.0880253,3,,
2041530108,30.6918036,104.0851631,3,,
2041531471,30.6797562,104.0744601,3,,
2041531475,30.678437,104.0735645,4,,
2041532105,30.6672991,104.0863933,4,,
2041535225,30.6639795,104.079872,4,,
2078704437,30.6169007,104.1012649,3,,
2078704441,30.6186999,104.101349,3,,
2080643552,30.6245328,104.1013625,4,,
2080643555,30.6216302,104.0995869,3,,
2080646270,30.6223802,104.1038717,3,,
2080646276,30.6173631,104.1031365,3,,
2080646464,30.6267775,104.0955447,3,,
2080664445,30.6201243,104.097952,3,,
2081197470,30.6289533,104.0969317,4,,
2081197471,30.6183947,104.1105532,3,,
2081197474,30.628855,104.097093,4,,
2081197476,30.6220409,104.1127643,5,,
2081197477,30.6069384,104.1177249,4,,
2081197481,30.6229943,104.1097951,4,,
2081197484,30.6221079,104.1166143,3,,
